"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"188","Blake Grupe","K","NO",131,8.92,0.273,121,147,-16.5,-17.8,-10.9,182,183,144,24,"3",170,0,58
"189","Darnell Mooney","WR","ATL",112,13.1,0.876,94.6,132,-16.6,-9.24,-25.8,183,144,212,48,"7",137,3.3,40
"190","Chad Ryland","K","ARI",131,11.6,0.973,116,150,-16.8,-22.7,-8.42,184,195,138,25,"3",170,0,99
"191","Dolphins","DST","MIA",76.2,10.6,1.19,62,90.9,-17.3,-20,-15.8,185,188,174,27,"16",170,0,77
"192","J.J. McCarthy","QB","MIN",256,24.2,2.38,227,295,-17.4,-31.2,-1.83,186,217,113,17,"7",124,6.57,83
"193","Michael Pittman","WR","IND",111,9.68,0.144,98.7,126,-17.5,-5.13,-31.4,187,122,225,49,"7",116,9.1,7
"194","Khalil Shakir","WR","BUF",110,13.9,2.42,89.1,131,-17.6,-14.8,-26.4,188,170,214,50,"7",115,5.84,33
"195","Spencer Shrader","K","IND",130,10.5,6.32,116,145,-17.8,-22.7,-13.2,189,194,154,26,"4",170,0,81
"196","Saints","DST","NO",75,12.5,2.36,55.7,87.1,-18.5,-26.4,-19.6,190,205,189,28,"17",168,0,48
"197","Jerome Ford","RB","CLE",94.6,22.4,7.09,72.3,131,-19,-11.8,-10.5,191,158,143,45,"11",133,6.46,90
"198","Jordan Love","QB","GB",253,15.9,2.36,232,280,-19.8,-26.5,-16.6,192,206,178,18,"7",111,7.12,49
"199","Theo Johnson","TE","NYG",67.3,12,3.32,50.3,85.3,-19.9,-21.3,-19.6,193,192,190,31,"8",183,1.82,66
"200","Marvin Mims","WR","DEN",108,23,0.0198,76.2,143,-20,-27.6,-14.9,194,208,163,51,"7",144,2.58,78
"201","Josh Downs","WR","IND",108,16,2.62,92.6,138,-20.1,-11.2,-19.1,195,156,187,52,"7",127,3.37,38
"202","Jaguars","DST","JAC",72.7,11.8,0.0472,51.6,86.8,-20.9,-30.4,-19.8,196,214,191,29,"17",170,0,71
"203","Titans","DST","TEN",72.6,12.9,3.36,56.5,88.6,-20.9,-25.5,-18.1,197,202,183,30,"18",170,0,55
"204","Drake Maye","QB","NE",251,17.5,0.614,228,269,-22.1,-29.9,-27.6,198,211,216,19,"7",123,7.55,66
"205","Trevor Lawrence","QB","JAC",250,14.6,5.51,228,267,-22.7,-30,-29.8,200,213,220,20,"8",132,6.07,26
"206","Rashod Bateman","WR","BAL",105,19,6.43,82.3,135,-22.7,-21.5,-22.5,199,193,203,53,"8",155,4.17,65
"207","Mason Taylor","TE","NYJ",63.9,15.7,1.04,38.8,88.3,-23.2,-32.8,-16.6,201,219,179,32,"8",172,3.25,80
"208","Nick Folk","K","NYJ",123,7.61,1.87,115,135,-24.1,-23.3,-23.7,202,196,206,27,"4",170,0,39
"209","Robbie Ouzts","TE","SEA",62.9,NA,0.227,NA,NA,-24.3,NA,NA,204,NA,NA,33,"8",NA,NA,99
"210","Panthers","DST","CAR",69.2,12.7,1.1,57,91.1,-24.3,-25,-15.5,203,201,170,31,"19",169,0,42
"211","Elijah Arroyo","TE","SEA",62.7,22.6,7.91,28.5,89.3,-24.5,-43.1,-15.6,205,241,172,34,"9",176,3.67,97
"212","Patriots","DST","NE",68.1,9.67,0,56.1,82.8,-25.4,-25.9,-23.9,206,204,207,32,"19",163,0.9,94
"213","Graham Gano","K","NYG",121,14.1,0.172,102,143,-26,-36.1,-14.9,207,227,164,28,"4",170,0,84
"214","Ray Davis","RB","BUF",87.5,14.9,1.48,66.7,108,-26.1,-17.5,-33.1,208,182,227,46,"11",143,2.6,32
"215","Joey Slye","K","TEN",121,5.13,1.52,114,130,-26.1,-24.2,-28.4,209,199,218,29,"4",170,0,10
